Table 1,,,,,,,,,
,,42 First Division Matches 1957-1958,,12 First Division Matches 1961-1962,,36 Miscellaneous Matches 1965-1966,,11 World Cup Matches 1966,
,r,Number of Moves,Pr,Number of Moves,Pr,Number of Moves,Pr,Number of Moves,Pr
,0,"10,580",0.445,"2,331",0.38,"3,407",0.387,"1,862",
,1,"6,923",0.555,"1,629",0.62,"2,320",0.613,"1,220",
,2,"3,611",0.475,"1,035",0.571,"1,435",0.57,785,
,3,"1,592",0.424,565,0.523,767,0.534,518,
,4,608,0.40,304,0.502,422,0.533,316,
,5,280,0.427,154,0.466,215,0.518,153,
,6,107,0.381,60,0.42,130,0.526,78,
,7,33,0.38,31,0.463,62,0.456,65,
,8,9,0.497,15,0.40,24,0.431,27,
,9+,11,,6,,20,,39,
,Total,"23,754",,"6,130",,"8,802",,"5,063",
,Mean,1.00,,1.30,,1.35,,1.56,
,Variance,1.50,,2.11,,2.52,,3.29,
