,,,,,,,,,,
Table 3,,,Frequency of Pass Move Distributions,,,,,,,
,Detail,No. of matches,0,1,2,3,4,5,6,7+
,1953-54 Wolverhampton W.,12,0.417,0.299,0.169,0.071,0.029,0.009,0.004,0.002
,1955-56 Miscellaneous,15,0.395,0.295,0.167,0.081,0.036,0.017,0.005,0.004
,1955-56 Sheffield W.,42,0.433,0.297,0.158,0.068,0.027,0.011,0.004,0.002
,1956-57 Sheffield W.,42,0.443,0.297,0.152,0.064,0.027,0.01,0.005,0.002
,1956-57 Miscellaneous,18,0.446,0.296,0.145,0.062,0.029,0.013,0.006,0.003
,1957-58 Sheffield W.,42,0.445,0.291,0.152,0.067,0.025,0.013,0.005,0.002
,1957-58 Miscellaneous,12,0.414,0.284,0.158,0.076,0.036,0.018,0.007,0.007
,1958 World Cup,11,0.384,0.262,0.161,0.09,0.051,0.027,0.012,0.013
,1958-59 Miscellaneous,33,0.398,0.29,0.17,0.077,0.036,0.017,0.008,0.004
,1959-60 Miscellaneous,41,0.395,0.296,0.159,0.08,0.039,0.017,0.007,0.007
,1960-61 Miscellaneous,38,0.389,0.266,0.16,0.09,0.049,0.025,0.012,0.009
,1960-61 Tottenham H.,12,0.395,0.259,0.156,0.092,0.049,0.028,0.012,0.009
,1961-62 Tottenham H.,12,0.378,0.26,0.157,0.094,0.055,0.031,0.012,0.013
,1961-62 Arsenal,12,0.38,0.266,0.169,0.092,0.05,0.025,0.01,0.008
,1961-62 Miscellaneous,42,0.378,0.262,0.166,0.092,0.051,0.028,0.012,0.011
,1961-62 Burnley,8,0.384,0.275,0.175,0.083,0.04,0.022,0.012,0.009
,1962-63 Tottenham H.,11,0.4,0.251,0.16,0.092,0.05,0.026,0.012,0.009
,1962-63 Miscellaneous,42,0.396,0.268,0.16,0.086,0.045,0.024,0.012,0.009
,1962-63 Coventry,14,0.434,0.294,0.151,0.067,0.032,0.014,0.005,0.003
,1962 World Cup,18,0.33,0.245,0.17,0.11,0.066,0.036,0.02,0.023
,1963-64 Miscellaneous,19,0.391,0.268,0.153,0.091,0.047,0.027,0.013,0.01
,1964-65 Miscellaneous,17,0.366,0.263,0.167,0.093,0.056,0.025,0.014,0.016
,1965-66 Miscellaneous,36,0.387,0.263,0.163,0.087,0.048,0.025,0.015,0.012
,1966 World Cup,11,0.368,0.241,0.155,0.103,0.062,0.03,0.015,0.026
,1966-67 Miscellaneous,18,0.369,0.231,0.163,0.102,0.057,0.033,0.023,0.022
,All Matches Actual,578,0.394,0.275,0.162,0.084,0.044,0.022,0.01,0.009
,All Matches Expected,,0.398,0.275,0.158,0.084,0.043,0.022,0.11,0.009
,A-E,,-0.004,0,0.004,0,0.001,0,-0.001,0
