Table 4,,,,,,,,,,,
,Season,Total Matches,Detail,Ratio of shooting area origin goals to all goals,Average No. of shots to score 1 goal,Ratio of shots from regained posessions to all such moves,Ratio of shots from shooting area origin attacks to to all such attacks,Ratio of all shots to all attacks reaching the shooting area,"Ratio of goals ""against"" conceded by ""own half"" breakdowns to all goals against",Ratio of shooting area origin attacks to all attacks reaching the shooting area,Ratio of regained possessions in shooting area to all shooting area origin attacks
,1952-53,26,Miscellaneous,0.624,10.1,no data,no data,no data,0.516,no data,no data
,1953-54,51,Miscellaneous,0.528,9.4,no data,no data,no data,0.503,no data,no data
,1954,8,World Cup,0.308,9.1,0.314,0.231,0.17,0.359,0.245,48
,1954-55,43,Miscellaneous,0.494,9,no data,no data,no data,0.466,no data,no data
,1954-55,14,Sheffield W.,0.51,9.8,0.296,0.223,0.125,0.449,0.301,52.5
,1955-56,15,Miscellaneous,0.397,9.8,0.319,0.25,0.157,0.349,0.296,54.3
,1955-56,42,Sheffield W.,0.558,9.6,0.327,0.244,0.137,0.515,0.287,52.2
,1956-57,18,Miscellaneous,0.533,10.8,0.266,0.211,0.133,0.567,0.329,52.8
,1956-57,42,Sheffield W.,0.535,9.5,0.299,0.23,0.14,0.5,0.299,51.6
,1957-58,42,Sheffield W.,0.547,9,0.282,0.218,0.128,0.472,0.313,52.3
,1957-58,15,Miscellaneous,0.546,8,0.293,0.228,0.153,0.468,0.299,54.7
,1958,11,World Cup,0.525,9.7,0.297,0.225,0.141,0.525,0.313,53.1
,1958-59,36,Miscellaneous,0.538,7.9,0.267,0.206,0.133,0.506,0.292,51.3
,1959-60,41,Miscellaneous,0.544,9.4,0.272,0.217,0.138,0.513,0.31,52
,1960-61,38,Miscellaneous,0.556,8.9,0.291,0.222,0.149,0.469,0.305,52.8
,1961-62,42,Miscellaneous,0.546,10.6,0.265,0.208,0.141,0.511,0.299,52.7
,1962,18,World Cup,0.52,no data,no data,no data,no data,0.34,no data,no data
,1962-63,42,Miscellaneous,0.551,10.4,0.275,0.216,0.143,0.497,0.299,51.8
,1963-64,26,Miscellaneous,0.536,8.8,0.275,0.216,0.146,0.409,0.299,53.6
,1964-65,17,Miscellaneous,0.48,11.8,0.257,0.213,0.146,0.54,0.265,48.6
,1965-66,50,Miscellaneous,0.575,10,no data,no data,no data,no data,no data,no data
,1966,11,World Cup,0.6,16.2,0.246,0.218,0.152,0.56,0.311,50.9
,1966-67,18,Miscellaneous,0.426,10.4,0.269,0.221,0.153,0.475,0.293,52.1
